ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
2000000000,Linear Algebra for ML,Theodore Miller,1995,"Todd, Lopez and Grant",http://images.amazon.com/images/P/2000000000.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000000.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000000.01.LZZZZZZZ.jpg
2000000001,Deep Learning Foundations,Ricardo Ward MD,2013,Johnson Ltd,http://images.amazon.com/images/P/2000000001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000001.01.LZZZZZZZ.jpg
2000000002,AI Ethics and Society,Robert Jones,1991,"Walters, Scott and Johnson",http://images.amazon.com/images/P/2000000002.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000002.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000002.01.LZZZZZZZ.jpg
2000000003,Econometrics in Practice,Adam Kelly IV,1999,Fuller-Odom,http://images.amazon.com/images/P/2000000003.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000003.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000003.01.LZZZZZZZ.jpg
2000000004,Organizational Behavior,Melanie Harper,2007,Schmidt Inc,http://images.amazon.com/images/P/2000000004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000004.01.LZZZZZZZ.jpg
2000000005,Discrete Mathematics Essentials,Tony Bryant,2003,Hill-Kelly,http://images.amazon.com/images/P/2000000005.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000005.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000005.01.LZZZZZZZ.jpg
2000000006,Operations Management,Shirley Matthews,2019,"Chavez, Fischer and Mitchell",http://images.amazon.com/images/P/2000000006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000006.01.LZZZZZZZ.jpg
2000000007,Leadership Strategies,Cody Oconnor,2006,Meyer-Holmes,http://images.amazon.com/images/P/2000000007.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000007.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000007.01.LZZZZZZZ.jpg
2000000008,Internet of Things Security,Stacie Banks,1992,Molina and Sons,http://images.amazon.com/images/P/2000000008.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000008.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000008.01.LZZZZZZZ.jpg
2000000009,Global Economic Trends,Austin Moses,1992,Mcgee-Skinner,http://images.amazon.com/images/P/2000000009.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000009.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000009.01.LZZZZZZZ.jpg
2000000010,Marketing Analytics,Chloe Garrett,2010,Mills-Smith,http://images.amazon.com/images/P/2000000010.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000010.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000010.01.LZZZZZZZ.jpg
2000000011,3D Design Fundamentals,Cynthia Lee,2017,Cruz-Young,http://images.amazon.com/images/P/2000000011.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000011.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000011.01.LZZZZZZZ.jpg
2000000012,Leadership Strategies,Robert Cisneros,2016,Best-Morales,http://images.amazon.com/images/P/2000000012.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000012.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000012.01.LZZZZZZZ.jpg
2000000013,Introduction to Multimedia,Teresa Williams,2024,Young PLC,http://images.amazon.com/images/P/2000000013.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000013.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000013.01.LZZZZZZZ.jpg
2000000014,Introduction to Multimedia,Benjamin Miller,1998,"Hodges, Gonzales and Little",http://images.amazon.com/images/P/2000000014.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000014.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000014.01.LZZZZZZZ.jpg
2000000015,Design Patterns Demystified,James Webb,2015,"Christensen, Lewis and Johnson",http://images.amazon.com/images/P/2000000015.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000015.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000015.01.LZZZZZZZ.jpg
2000000016,Blender Mastery,Donna Gonzalez,2024,Marshall and Sons,http://images.amazon.com/images/P/2000000016.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000016.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000016.01.LZZZZZZZ.jpg
2000000017,Reinforcement Learning Explained,Martin Baker,2000,Welch-Garcia,http://images.amazon.com/images/P/2000000017.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000017.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000017.01.LZZZZZZZ.jpg
2000000018,Project Management Essentials,Gene Yu,2022,Fitzgerald-Cooke,http://images.amazon.com/images/P/2000000018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000018.01.LZZZZZZZ.jpg
2000000019,Consumer Behavior,Ashley Mcfarland,2013,Clark-Strong,http://images.amazon.com/images/P/2000000019.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000019.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000019.01.LZZZZZZZ.jpg
2000000020,Introduction to Multimedia,Mary Torres,2017,Wells-Huffman,http://images.amazon.com/images/P/2000000020.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000020.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000020.01.LZZZZZZZ.jpg
2000000021,Audio-Visual Systems,Adrian Wise,2020,Sawyer Ltd,http://images.amazon.com/images/P/2000000021.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000021.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000021.01.LZZZZZZZ.jpg
2000000022,Calculus with Applications,Jenna Williams,2023,"Taylor, Brennan and Williams",http://images.amazon.com/images/P/2000000022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000022.01.LZZZZZZZ.jpg
2000000023,Cybersecurity Principles,Samuel Short,2014,Harris Ltd,http://images.amazon.com/images/P/2000000023.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000023.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000023.01.LZZZZZZZ.jpg
2000000024,Internet of Things Security,Benjamin Sanchez,2015,"Evans, Briggs and Douglas",http://images.amazon.com/images/P/2000000024.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000024.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000024.01.LZZZZZZZ.jpg
2000000025,DevOps in Action,Felicia Case,2005,Nelson Inc,http://images.amazon.com/images/P/2000000025.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000025.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000025.01.LZZZZZZZ.jpg
2000000026,Clean Code Practices,Douglas Robinson,2005,Weaver-Hicks,http://images.amazon.com/images/P/2000000026.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000026.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000026.01.LZZZZZZZ.jpg
2000000027,Audio-Visual Systems,Bianca Francis,2005,Castillo-Shields,http://images.amazon.com/images/P/2000000027.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000027.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000027.01.LZZZZZZZ.jpg
2000000028,Digital Marketing Guide,Emily Graves,1997,Scott-Clark,http://images.amazon.com/images/P/2000000028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000028.01.LZZZZZZZ.jpg
2000000029,Game Asset Creation,Vanessa Monroe,2020,Vargas-Mejia,http://images.amazon.com/images/P/2000000029.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000029.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000029.01.LZZZZZZZ.jpg
2000000030,Digital Media Processing,Robert Patel,2005,"Rodriguez, Hunt and Cantrell",http://images.amazon.com/images/P/2000000030.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000030.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000030.01.LZZZZZZZ.jpg
